省,城市,链接,行政区,小区,均价,地址,lng,lat,gclng,gclat,wgs84lng,wgs84lat,物业类型,权属类别,竣工时间,产权年限,户数,总建筑面积,容积率,绿化率,建筑类型,商圈,水电,停车位,物业费,停车费,车位管理费,物业公司,开发商
山西,太原,https://ty.anjuke.com/community/view/1381508,晋源,要子庄村自建房,1871,晋源 - 晋源周边 - 晋阳大道,112.466182,37.739737,112.459734,37.733561,112.453132,37.732761,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋源周边 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1322748,杏花岭,后沟村自建房,1871,杏花岭 - 七府 - 232县道,112.597124,37.963016,112.590603,37.957021,112.584349,37.956561,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 七府 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1285075,小店,西北格村自建房,1885,小店 - 通达街 - 小刘线,112.541051,37.647401,112.534595,37.641327,112.528262,37.640733,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1312285,杏花岭,大窑头村自建房,1885,杏花岭 - 杨家峪 - 歧银线,112.667815,37.885687,112.661395,37.879504,112.655066,37.878971,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 杨家峪 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1310911,尖草坪,欢咀新村自建房,1885,尖草坪 - 南寨 - 001乡道,112.618051,38.001542,112.611462,37.995852,112.605204,37.995402,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 南寨 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1302268,小店,南王名村自建房,1900,小店 - 小店周边 - 243县道,112.652548,37.736991,112.646016,37.731058,112.63974,37.730532,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 小店周边 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1407788,尖草坪,土堂村自建房,1900,尖草坪 - 上兰 - 汾泉路,112.447186,38.012694,112.440819,38.006363,112.434141,38.005574,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 上兰 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1281251,尖草坪,上兰村自建房,1900,尖草坪 - 上兰 - 通顺街,112.452672,38.014024,112.446299,38.00771,112.439632,38.00693,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 上兰 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1266403,晋源,古城营村自建房,1914,晋源 - 晋源周边 - 七三公路,112.499422,37.746503,112.492817,37.740818,112.486322,37.740104,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 晋源周边 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1294194,小店,南格村自建房,1928,小店 - 通达街 - 三一六省道,112.543548,37.63199,112.537095,37.62587,112.530772,37.625284,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1421749,尖草坪,北下温村自建房,1928,尖草坪 - 南寨 - 阳兴大道,112.521493,37.989766,112.514916,37.984006,112.508474,37.983398,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 南寨 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1289983,尖草坪,阳曲村自建房,1928,尖草坪 - 南寨 - 康乐街,112.595591,38.000079,112.589109,37.994067,112.582851,37.993614,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 南寨 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1465524,小店,贾家寨村自建房,1935,小店 - 通达街 - 贾家寨街,112.557769,37.702736,112.551356,37.696428,112.545067,37.695876,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1376224,晋源,赤桥村自建房,1942,晋源 - 晋祠 - 晋阳大道,112.454183,37.72193,112.447769,37.715614,112.44114,37.714789,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1086651,清徐,盛世家园,1950,清徐 - 孟封镇 - 241县道,112.420888,37.500456,112.414408,37.494377,112.407764,37.493539,公寓住宅,商品房住宅,2000年竣工,70年,暂无,暂无,1.2,0.3,多层, 孟封镇 ,民用,暂无,1.00元/平米/月,地面150.00元/月,地面150.00元/月,业主自管,太原市政建设集团有限公司
山西,太原,https://ty.anjuke.com/community/view/1259332,清徐,东于幸福二区,1950,清徐 - 东于镇 - 乐普大街,112.283474,37.599661,112.276884,37.593867,112.27044,37.593192,公寓住宅,商品房住宅,1996年竣工,70年,390户,暂无,1.2,0.2,多层, 东于镇 ,民用,100(1:0.3),0.50元/平米/月,地面300.00元/月,地面300.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1063799,清徐,葡乡苑,1950,清徐 - 东于镇 - 307国道,112.287986,37.61992,112.281431,37.614063,112.27498,37.613382,公寓住宅,商品房住宅,2000年竣工,70年,477户,暂无,2.5,0.3,高层, 东于镇 ,民用,100(1:0.2),0.50元/平米/月,地面300.00元/月,地面300.00元/月,业主自管,单位自建
